startt-ppa-id,personalInformation_name,company,designation,period
,Gurupandian Chandrasekaran,JustCall,VP - Revenue & Growth,May 2021 - Jan 2023
,Gurupandian Chandrasekaran,SaaS Labs,VP - Revenue & Growth,May 2021 - Jan 2023
,Gurupandian Chandrasekaran,BoldCap,Advisor - GTM / Growth,Jan 2023 - Dec 2023
,Gurupandian Chandrasekaran,Ampliz,Chief Product & Growth Officer,Mar 2019 - May 2021
,Gurupandian Chandrasekaran,ComicFlix,Co-Founder / Growth,Aug 2017 - Jun 2019
,Gurupandian Chandrasekaran,Aberdeen Group,Advisor - Product & Growth,May 2017 - Feb 2018
,Gurupandian Chandrasekaran,Dispatch,"Director, Product/Growth",Jul 2016 - Feb 2017
,Gurupandian Chandrasekaran,ZoomInfo,Product Lead - Growth & Strategy,Mar 2015 - Jul 2016
,Gurupandian Chandrasekaran,myPatang,Co-Founder,Aug 2011 - May 2012
,Gurupandian Chandrasekaran,Prototyping,Business Head,Oct 2009 - Nov 2010
,Gurupandian Chandrasekaran,Cisco Systems,Assistant Manager - Sales,Mar 2008 - Jun 2009
,Gurupandian Chandrasekaran,NewWave computing,Territory Sales Specialist,Jan 2007 - Feb 2008
,Gurupandian Chandrasekaran,TLI Software,Account Manager,Aug 2005 - Oct 2006
,Gurupandian Chandrasekaran,Infosys,Software Engineer,Jul 2004 - Jul 2005
,Harish Uniyal,CSR TIMES,Managing Director,Jan 2013 - Present
,Harpreet Singh,Alternative Path,Co-Founder & CIO,Aug 2020 - Present
,Harpreet Singh,ThoughtFocus Technologies,Director Of Quality Assurance,Oct 2012 - Jul 2020
,Harpreet Singh,Capital IQ,Team Lead,Dec 2005 - Oct 2012
,Harsh Chhaparia,McKinsey & Company,Partner,Apr 2008 - Present
,Harsh Chhaparia,Citibank Singapore,Management Associate,Jan 2006 - Dec 2007
,Harsh Chhaparia,JP Morgan Chase,Intern,Jul 2004 - Dec 2004
,Harshil Parikh,Technostacks Infotech Pvt. Ltd.,Director / Co-Founder,Apr 2014 - Present
,Harshil Parikh,Agile infoways,Marketing Head,Nov 2010 - Apr 2014
,Harsh Chamria,Magma Ventures,"Co-Founder, Managing Partner",Jun 2021 - Present
,Harsh Chamria,Magma Fincorp Ltd.,"Promoter, Operator (Chief Digital Officer, Business Head)",Jun 2011 - Jun 2021
,Harsh Chamria,Bling Nation,"Intern, Consultant, College Sales Lead",May 2010 - Mar 2011
,Harsh Chamria,Cornell University,Research Scientist,Jun 2009 - Dec 2009
,Harsh Chamria,Cornell Minesweeper,Power Team Lead,Jan 2008 - May 2009
,Harsh Chamria,BT,Intern,May 2008 - Aug 2008
,Hemant Luthra,Beanstalk Advisory,Founder Chairman,Jun 2020 - Present
,Hemant Luthra,Clayton Dubilier & Rice,Advisor,Apr 2017 - Mar 2022
,Hemant Luthra,CIE Automotive,"Chairman, Mahindra CIE",Apr 2013 - Jun 2020
,Hemant Luthra,Mahindra & Mahindra,"President, Systems & Technologies, Member Group Executive Board",Dec 2001 - Jun 2020
,Hemant Luthra,Temasek,Strategic Advisor,Apr 2015 - Mar 2017
,Hemant Luthra,Enron,"CEO, Enron Data Center",Jan 2001 - Nov 2001
,Hemant Luthra,Essar Telecom,CEO,Jan 1999 - Dec 2000
,Hemant Luthra,Barings Private Equity Partners,Managing Partner,Jan 1997 - Dec 1998
,Hemant Luthra,BILT,"COO, BILT and Group CFO",Feb 1978 - Dec 1996
,Hemant Luthra,"IBM, India & South East Asia",Finance Industry Account Manager,Jan 1971 - Dec 1978
,Inderjit Makkar,Factacy.ai,Founder,Apr 2020 - Present
,Inderjit Makkar,Proxgy,Director @Proxgy,Sep 2020 - Mar 2023
,Inderjit Makkar,Vapereon India,"Director, Global Sourcing & Marketing",Apr 2019 - Sep 2019
,Inderjit Makkar,S&P Global Market Intelligence,Associate Director,Apr 2006 - Apr 2019
,Iype Isac,BankBazaar.com,Chief Delivery Officer,Jun 2008 - Present
,Iype Isac,Microsoft,Software Design Engineer II,Apr 2004 - Jun 2008
,Iype Isac,Capital One Financial,Business Analyst,Jul 2002 - Apr 2004
,CA Jagadeesh Atukuri,Vachana Investments,Chief Financial Officer,Feb 2019 - Dec 2019
,CA Jagadeesh Atukuri,Aliens Group Pvt. Ltd.,Private Equity Associate,Sep 2017 - Nov 2018
,CA Jagadeesh Atukuri,Integra International Ltd,Analyst/Assurance Services,Jul 2013 - Jun 2016
,Jagdish Moorjani,CitiusTech,Co-Founder,Jul 2005 - Present
,Jagdish Moorjani,TransWorks,Co-Founder and Jt. President,Apr 1999 - Mar 2005
,Jai Diwanji,Desai & Diwanji,Partner,Jun 2001 - Present
,Jai Diwanji,St. Jude India ChildCare Centres,Vice Chairperson,Apr 2006 - Present
,Jai Diwanji,Herbert Smith,Associate,Jan 1998 - Dec 2001
,Jignesh Kenia,Signal Ventures,Co-Founder and Partner,Jan 2024 - Present
,Jignesh Kenia,Times Network,"Executive Vice President and Head, Corporate Strategy and Digital Transformation",May 2014 - Present
,Jignesh Kenia,A-Scale,Mentor,May 2019 - Present
,Jignesh Kenia,TiE,Charter Member,Jul 2018 - Present
,Jignesh Kenia,Vahanalytics (Urbtranz Technologies Pvt Ltd),Investor,May 2017 - Present
,Jignesh Kenia,Wishup,Investor,Jun 2018 - Present
,Jignesh Kenia,Anthill Studio,Mentor,Apr 2018 - Present
,Jignesh Kenia,Venture Catalysts,Angel Investor,Jan 2016 - Present
,Jignesh Kenia,CIO Angel Network,Angel Investor,Jan 2016 - Present
,Jignesh Kenia,Inflection Point Ventures,Advisor and Investor,Mar 2018 - Mar 2024
,Jignesh Kenia,Swades Foundation,Director - Resource Mobilization,Jul 2013 - May 2014
,Jignesh Kenia,The Walt Disney Company,Executive Director - Business Finance and Commercial,Aug 2012 - Jun 2013
,Jignesh Kenia,UTV,Senior VP - Finance and Strategy (CFO),Jan 2007 - Jul 2012
,Jignesh Kenia,Rajesh R Shah & Co.,Senior Manager,Jan 1996 - Dec 2001
,Jitendra Jagadev,Nestaway,Co-Founder and CEO,Aug 2023 - Present
,Jitendra Jagadev,Helloworld Technologies India Pvt. Ltd.,CEO,Apr 2019 - Present
,Jitendra Jagadev,NestAway Technologies Pvt Ltd,Co-Founder & COO,Jan 2015 - Mar 2019
,Jitendra Jagadev,BrizzTV Media Labs Pvt Ltd,Co-Founder,Nov 2010 - Dec 2014
,Jitendra Jagadev,Ojas Venture Partners,Advisor,Jun 2013 - Oct 2014
,Jitendra Jagadev,Cisco Systems,Engineering in Core Routing BU,Feb 2008 - Nov 2010
,Jitendra Jagadev,Philips Consumer Electronics,Senior Software Engineer,Aug 2004 - Jan 2008
,Joydeep Ponugoti,Manbhum Construction Company Pvt. Ltd.,None,Jul 2012 - Present
,Joydeep Ponugoti,DE Shaw & Co.,Specialist,Nov 2008 - Jun 2011
,Joydeep Ponugoti,IBM Daksh,Recruitment Intern,Feb 2007 - Oct 2007
,K S Priyan,Mist Valley Estate,Founder and Director,Jan 2010 - Present
,K S Priyan,X.Centi Corp,Founder,Jan 2010 - Present
,K S Priyan,"PP Equity Management Services LLP, X.Centi Corp & Mist Valley Estates",Founder,Aug 2009 - Present
,K S Priyan,Olam International,SVP,May 1995 - Dec 2009
,Kallol Banerjee,Rebel Foods (Formerly Faasos),Cofounder,Jan 2010 - Present
,Kapil Bharati,Delhivery,Co-Founder,Dec 2011 - Present
,Kapil Bharati,SapientNitro,"Sr Manager, Technology",Dec 2010 - Nov 2011
,Kapil Bharati,Contify.com,Co-Founder,Apr 2009 - Dec 2010
,Kapil Bharati,Hindustan Times,"Technical Lead, livemint.com",Oct 2008 - Mar 2009
,Kapil Bharati,11Rupees,Co-Founder,Jul 2008 - Oct 2008
,Kapil Bharati,Sapient,"Sr. Manager, Tech",Dec 2001 - Jul 2008
,Karan Garg,Samhit Ventures,Managing Director,Jan 2017 - Present
,Karan Garg,KARAN HOLDINGS PRIVATE LIMITED,Managing Director,Jan 2009 - Present
,Karan Garg,Karan Letex Ltd.,Director,Jan 2008 - Present
,Karan Garg,The Art of Living,Volunteer/ Knowledge Peer,Aug 2000 - Present
,Karan Khetarpal,INDIAN EXPRESS COMMERCIAL VENTURES & PROJECTS LIMITED,Chief Executive Officer,Jan 2018 - Present
,Karan Khetarpal,THE CHOCOLATE SPOON COMPANY PRIVATE LIMITED,Director,Jan 2018 - Present
,Karan Khetarpal,Goldman Sachs,Executive Director,Jun 2015 - Dec 2017
,Karan Khetarpal,Deutsche Bank,Vice President,Mar 2009 - Jun 2015
,Karan Khetarpal,Bank Sarasin,Intern - Private Banking & Investment Banking,Jun 2007 - Aug 2007
,Karan Khetarpal,KPMG,Intern - Corporate Finance,Jun 2006 - Aug 2006
,Karan Khetarpal,Citi,Intern - Corporate Finance & Investment Bank,Jun 2005 - Aug 2005
,Kartikeya Nitin Desai,Desai & Associates,Founder & CEO,Apr 2022 - Present
,Kartikeya Nitin Desai,KOIS,Partner (Asia),Jul 2021 - Dec 2021
,Kartikeya Nitin Desai,Impact Investors Council (IIC),Executive Committee Member,Apr 2015 - Sep 2021
,Kartikeya Nitin Desai,Asha Impact,Executive Director,Sep 2014 - Sep 2021
,Kartikeya Nitin Desai,VSG Capital Advisors,Principal,Sep 2014 - Sep 2021
,Kartikeya Nitin Desai,NDTV,Judge - The Real Deal,Jan 2016 - Mar 2016
,Kartikeya Nitin Desai,Aavishkaar Frontier Fund,Senior Investment Manager,Jul 2013 - Sep 2014
,Kartikeya Nitin Desai,What's up Bharat,Founder,Mar 2011 - Aug 2014
,Kartikeya Nitin Desai,Lok Capital,VP - Investments,Jan 2009 - Jul 2011
,Kartikeya Nitin Desai,Merrill Lynch Global Markets & Investment Banking,Associate,Mar 2006 - Jul 2008
,Kartikeya Nitin Desai,BTS Group,Senior Analyst,Jul 2004 - Oct 2005
,Kartikeya Nitin Desai,India Pakistan Peace and Goodwill Delegation,Member of Delegation,Dec 2004 - Jan 2005
,Kartikeya Nitin Desai,United Nations Development Program,Professional Fellowship,May 2003 - Sep 2003
,Kartikeya Nitin Desai,Global Information Clearinghouse,Start-up Team,May 2002 - May 2003
,Kartikeya Nitin Desai,Accenture,Summer Analyst,Jun 2001 - Aug 2001
,Kartikeya Nitin Desai,The Rockefeller Foundation,Assistant to Executive Vice President,Jun 2000 - Dec 2000
,Karun Singla,Besseggen Infotech,Director,May 2018 - Present
,Karun Singla,Risor,Co-Founder,Jan 2021 - May 2023
,Karun Singla,Unicommerce,Co-founder & CTO,Dec 2011 - Aug 2017
,Karun Singla,Snapdeal,Vice President - Engineering,Jul 2010 - Dec 2011
,Karun Singla,iXiGO.com,Technical Architect,Jul 2008 - Jul 2010
,Karun Singla,British Telecom,Associate Consultant,Jan 2007 - Jul 2008
,Karun Singla,Headstrong,Senior Software Engineer,May 2006 - Jan 2007
,Karun Singla,Infosys Technologies Ltd,Software Engineer,Aug 2004 - May 2006
,Kathan Shah,Sixth Sense Ventures,"Principal, Investments",Jan 2019 - Present
,Kathan Shah,Infinite Analytics,Senior Director,Jan 2017 - Dec 2019
,Kathan Shah,Centralmart.in,Second-in-Command,Jan 2015 - Dec 2017
,Kathan Shah,London City Incubator,Associate Consultant,Jan 2014 - Dec 2015
,Kathan Shah,Spiffed Digital,Co-founder,Jan 2013 - Dec 2014
,Kathan Shah,FCB Global,"Strategy, Marketing Analytics and Media Planning + Buying",Jan 2011 - Dec 2013
,Kathan Shah,Red Bull,Brand Management & Experiential Marketing,Jan 2009 - Dec 2011
,Kathan Shah,AIESEC,External Relations,Jan 2006 - Dec 2008
,Kaushik Mehta,Ruloans Distribution Services Private Limited,Founder & CEO,Jun 2015 - Present
,Kaushik Mehta,Rushabh Marketing Solutions Private Limited,CEO,Jan 2000 - May 2015
,Kiran Desai,Netflix,Vice President - India General Counsel,Jul 2019 - Present
,Kiran Desai,Desai & Partners,Founder,Apr 2007 - Jul 2019
,Kiran Desai,Chambers of Shyam Divan,Counsel,Sep 2005 - Aug 2006
,Kiran Desai,DSK Legal,Associate,May 2003 - Sep 2005
,Kirti Jangra,Animall Technologies,Co-Founder & COO,Jan 2020 - Present
,Kirti Jangra,Penguin Random House India,"Sr Business Executive, Business Initiatives",Feb 2018 - Jan 2020
,Kirti Jangra,Nomura Consulting,Sr. Associate Consultant,Aug 2016 - Feb 2018
,Kirti Jangra,MindPro,Volunteer,Apr 2015 - Sep 2015
,Kirti Jangra,Schlumberger,Intern,May 2015 - Jul 2015
,Kirti Jangra,Czech Technical University in Prague,Intern,May 2015 - Jul 2015
,Kirti Jangra,Institution of Civil Engineers,"Vice President, Student Chapter, Delhi",Apr 2014 - Apr 2015
,Krishen Khanna,TRENTON INVESTMENTS COMPANY PVT LTD,Chairman & Managing Director, - 
,Krishi Fagwani,Self-employed,Angel Investor,Aug 2020 - Present
,Krishi Fagwani,Thrive Now,Co-founder & CEO,Jun 2020 - Present
,Krishi Fagwani,Save Local,Partner,Mar 2020 - Jun 2020
,Krishi Fagwani,Hashtag Loyalty,Co-Founder & CEO,May 2015 - Jun 2020
,Krishi Fagwani,EY,IT Risk & Assurance Analyst,Sep 2013 - Dec 2014
,Krishi Fagwani,Cisco Systems,Systems Engineer,Sep 2012 - May 2013
,Krishi Fagwani,Illinois Business Consulting,Project Manager,Aug 2011 - May 2012
,Krishi Fagwani,Accenture,Consultant,Jan 2011 - Aug 2011
,Krishi Fagwani,Atlas Copco,Mechanical Design Engineer,May 2009 - Jul 2009
,Kumar Siddhartha,Greytrix India Pvt Ltd,CEO and Managing Director,Jan 1999 - Present
,Kumar Siddhartha,Pocket HRMS,Co-Founder,Feb 2014 - Present
,Kumar Siddhartha,Inogic,Co-Founder,Jan 2008 - Present
,Madan Padaki,1BRIDGE,Founder & CEO,Jul 2016 - Present
,Madan Padaki,Wonderla Holidays Ltd.,Independent Director,Apr 2024 - Present
,Madan Padaki,Head Held High Foundation,Managing Trustee,Jan 2009 - Present
,Madan Padaki,G.A.M.E. India,Co-founder,Aug 2018 - Present
,Madan Padaki,TiE,Member Board of Trustees,Jan 2024 - Present
,Madan Padaki,TiE Bangalore,President,Apr 2021 - Present
,Madan Padaki,Sylvant Advisors Private Limited,Co-founder & Director,Apr 2013 - Present
,Madan Padaki,UNICEF India,Strategic Advisor/Board Member - YuWaah,Jan 2019 - Present
,Madan Padaki,SVP India,Partner,Jan 2014 - Sep 2019
,Madan Yadav,CWT,Sr. End User Technology Specialist | Enterprise IT,Jan 2011 - Present
,Madan Yadav,IBM Global Process Services,Technical Support Executive,Nov 2008 - Jan 2011
,Madan Yadav,WNS Global Services,Desktop Engineer,Oct 2007 - Oct 2008
,Madhu Sudana Rao K,Eka Life Limited,Head - Planning & Techno-Commercial,Aug 2021 - Present
,Madhu Sudana Rao K,Adani Realty,Vice President,Jun 2017 - Oct 2020
,Madhu Sudana Rao K,Adani Township and Real Estate Co.,General Manager,Sep 2007 - Oct 2020
,Madhu Sudana Rao K,NaviMumbai SEZ Pvt. Ltd,General Manager,May 2006 - Aug 2007
,Madhu Sudana Rao K,GMR Group (Vemagiri Power Generation Ltd.),Sr. Manager (Civil),May 2004 - Apr 2006
,Madhur Deora,Paytm,"President, and Group CFO",Oct 2016 - Present
,Madhur Deora,Citi,"Managing Director, Investment Banking",Jul 1999 - Sep 2016
,Mahesh Pillai,Pierian Services,Chief Executive Officer - E-Commerce Business,Apr 2022 - Present
,Mahesh Pillai,Pierian Services Private Limited,Vice President - Business Consulting and COO (Encore Pierian),Dec 2011 - Aug 2022
,Mahesh Pillai,Encore Pierian Logistics Business Servies Ltd,CEO,Jul 2013 - Aug 2022
,Mahesh Pillai,Pierian Service Private Limited,Senior Manager - Operations,Jan 2009 - Jun 2011
,Mahesh Pillai,Motorola,Finance Executive,Jan 1999 - Dec 2006
,Manish Hathiramani,Deen Dayal Investments,Proprietary Equity Trader & Technical Analyst,Sep 2008 - Present
,Manisha Raisinghani,SiftHub,Founder & CEO,Jul 2023 - Present
,Manisha Raisinghani,LogiNext,Co-Founder,Jan 2014 - Jul 2023
,Manisha Raisinghani,Polygon Labs,Chief Technology Officer,Jan 2014 - Nov 2021
,Manisha Raisinghani,IBM,Enterprise Advisor,Jun 2022 - Feb 2023
,Manisha Raisinghani,C2L Biz Solutions Pvt Ltd,Solution Architect,Jan 2009 - Dec 2011
,Manisha Raisinghani,Mastek Ltd,Software Engineer,Jan 2008 - Dec 2009
,Manoj Varma,Jaguar Security Services Pvt Ltd.,CEO,May 2012 - Jul 2023
,Manoj Varma,Goldman Sachs,Vice President - Office of Global Security,Sep 2006 - Apr 2012
,Manoj Varma,UB Group,Security Manager,May 2004 - Aug 2006
,Manoj Varma,Indian Army,Army Officer,Dec 1994 - Apr 2004
,Manoranjan (Mao) Mohapatra,Comviva,"Advisor & Member, Board of Directors",Nov 2007 - Present
,Manoranjan (Mao) Mohapatra,Aricent,President and COO,Jan 1992 - Dec 2007
,Manoranjan (Mao) Mohapatra,Centre for Development of Telematics (C-DOT),Senior Program Manager,Jul 1984 - Jul 1992
,Mihir Gadani (MG),OZiva,Co-Founder,Jul 2016 - Present
,Mihir Gadani (MG),FitCircle,Co-Founder,Mar 2014 - Present
,Mihir Gadani (MG),Molecule,Founder,Apr 2003 - Apr 2015
,Mitesh Daga,TPG,"Co-Head of Healthcare, TPG Capital Asia",Sep 2014 - Present
,Mitesh Daga,Manipal Health Enterprises Pvt. Ltd,Board Member (Observer),Jul 2023 - Present
,Mitesh Daga,Sai Life Sciences Ltd,Board Member,Jul 2018 - Mar 2025
,Mitesh Daga,RR Kabel Limited,Board Member,Sep 2018 - Mar 2024
,Mitesh Daga,Advent International,Assistant Director,Apr 2010 - Aug 2014
,Mitesh Daga,Zephyr Peacock India,Associate Director,Jun 2006 - Dec 2008
,Mitesh Daga,Capital One Services Inc.,Senior Manager / Business Analyst,Aug 2001 - Sep 2005
,Dr. Mohit Lalvani,Mascot Spincontrol India Pvt Ltd,Managing Director,Jan 1989 - Present
,Dr. Mohit Lalvani,Captain Zack,Founder,Sep 2017 - Mar 2023
,Aditya Goel,Epacific Services India,Director,Apr 2017 - Present
,Aditya Goel,OneInfinity,Investor,Feb 2021 - Present
,Aditya Goel,Market Pulse,Board Member,Mar 2017 - Present
,Aditya Goel,your-space,Seed Investor,Apr 2016 - Present
,Aditya Goel,equentis,Investor,May 2015 - Present
,Aditya Goel,Vantage BPO Services Pvt. Ltd.,Director,Jan 2010 - Apr 2017
,Aditya Goel,Start Enterprise,CEO,Apr 2007 - Sep 2016
,Aditya Goel,Cellent Technologies,Owner,May 2002 - Sep 2016
,Rajesh Rege,Honeywell,"President, Honeywell India & Board Director, Honeywell Automation",Feb 2022 - Mar 2023
,Rajesh Rege,Microsoft,Executive Director - Sales,Jul 2018 - Dec 2020
,Rajesh Rege,Red Hat,"Managing Director, India & South Asia",Nov 2014 - Jul 2018
,Rajesh Rege,Cisco,Director & Country Head - Data Center & Cloud,Nov 2010 - Oct 2014
,Rajesh Rege,Sun Microsystems,nan, - 
,Rajesh Rege,Indigo Technologies,Country Manager,May 1998 - Jul 1999
,Rajesh Rege,Reuters,nan, - 
,Rajesh Rege,Wipro,nan, - 
,Naresh Agarwal,Harness,SVP & Head of Application Security BU Engineering,Mar 2025 - Present
,Naresh Agarwal,Startups,Startup Investor & Mentor,Jan 2016 - Present
,Naresh Agarwal,Traceable AI,SVP Engineering & Head of India R&D Center,Oct 2019 - Feb 2025
,Naresh Agarwal,Appen,Senior Software Engineer,Jan 2015 - Dec 2021
,Ajay Gupta,Ericsson,Vice President and Head of Strategy,Dec 2010 - Present
,Ajay Gupta,Indian Angel Network,Member,Dec 2014 - Present
,Ajay Gupta,Hughes Software Systems / Aricent,"Senior Vice President, Head of Business Unit",May 1997 - Dec 2010
,Ajay Gupta,Sasken Communication Technologies,General Manager,Jan 1993 - Dec 1997
,Ajay Gupta,JK Technosoft,Senior Consultant,Jan 1989 - Dec 1993
,Ajay Gupta,AF Ferguson,Assistant Consultant,Sep 1986 - Jul 1988
,Ajay Gupta,Org Systems,Customer Support Engineer,Jan 1985 - Dec 1986
,Naresh Ravindranath,NAD Goa,Fashion Designer,Oct 2021 - Present
,Naresh Ravindranath,SuperWise - Real-time Construction Management Software,Angel Investor,Apr 2018 - Present
,Naresh Ravindranath,Trilyo,Angel Investor,Oct 2016 - Present
,Naresh Ravindranath,Enliten,Former Owner,Aug 2008 - Mar 2020
,Mukesh Sawlani,Epsilon,Regional CFO,Jan 2019 - Present
,Mukesh Sawlani,GE Healthcare,FP&A COE Leader,Jan 2016 - Dec 2019
,Mukesh Sawlani,Startup,CFO,Jan 2015 - Dec 2016
,Mukesh Sawlani,Faering Capital Private Limited,CFO,Jan 2014 - Dec 2014
,Mukesh Sawlani,GenNx360 India Advisors Private Limited,Senior Vice President - Finance and Operations,Jan 2012 - Dec 2014
,Mukesh Sawlani,Genpact,Vice President,Jan 2000 - Dec 2012
,Mukesh Sawlani,GE Consumer Finance Operations,Assistant Vice President,Jan 2004 - Dec 2006
,Mukesh Sawlani,GE Shares Operations,Manager,Jan 2002 - Dec 2004
,Mukesh Sawlani,GE Transition,Assistant Mgr,Jan 2000 - Dec 2002
,Akshat Shrivastava,The Wisdom Hatch Fund,Chief Executive Officer,Jun 2024 - Present
,Akshat Shrivastava,Wisdom Hatch,Founder,Oct 2021 - Present
,Akshat Shrivastava,Next EdVentures,Partner,Jan 2019 - Present
,Akshat Shrivastava,UN Sustainable Development Solutions Network â€“ Youth,Mentor,Apr 2021 - Nov 2021
,Akshat Shrivastava,Consulting,Senior Consultant,Jul 2015 - Jan 2019
,Akshat Shrivastava,Boston Consulting Group (BCG),Associate,Mar 2014 - Jul 2014
,Akshat Shrivastava,"2014 Lok Sabha Elections, India",Manager,Oct 2013 - Mar 2014
,Akshat Shrivastava,Government of India,Public Policy Consultant,Jun 2010 - Mar 2014
,Navin Talreja,The Womb Communications,Founding Partner,May 2015 - Present
,Navin Talreja,Ogilvy & Mather,"President, Mumbai & Kolkata",Apr 2005 - Apr 2015
,Navin Talreja,YES BANK,Chief Marketing Officer,Sep 2007 - Mar 2008
,Navin Talreja,TDA DDB Dubai,New Business Director,May 1999 - Apr 2005
,Navin Talreja,O&M Advertising,Senior Account Executive,Jan 1996 - Dec 1999
,Navin Talreja,R K Swamy/BBDO - Chennai,Sr Account Executive,Jan 1994 - Dec 1996
,Akshat Srivastava,Multiple Startups,EIR Consultant,Jan 2025 - Present
,Akshat Srivastava,TechEagle Innovations,Senior Strategy Manager,Jul 2023 - Dec 2024
,Akshat Srivastava,Campus Haat,Co-Founder & Director,May 2017 - Apr 2023
,Akshat Srivastava,"Techkriti, Indian Institute of Technology Kanpur","Head, Events and Competition",Apr 2016 - May 2017
,Akshat Srivastava,Bhattad Group,Business Development Associate,May 2016 - Jul 2016
,Navy Ramavat,Indira Group,Managing Director,Jan 2009 - Present
,Akshay Chaturvedi,Indian School of Business,"Master of Business Administration (MBA), Double Major: Strategy & Leadership, Marketing",Jan 2014 - Dec 2015
,Akshay Chaturvedi,Delhi University,B.Com (Honors),Jan 2008 - Dec 2011
,Akshay Chaturvedi,LinkedIn,LinkedIn Success Story,Jan 2013 - Feb 2013
,Akshay Chaturvedi,KPMG,Analyst - Technology,Aug 2011 - Feb 2012
,Akshay Chaturvedi,Private Equity Pro Partners,Executive Assistant to MD,Jun 2011 - Oct 2011
